WEB_CRLN_ID,DEPT_NM,ORG_NM,BD_NM,URL,USE_YN,ETC_1,ETC_2,ELMT_TR_CSS_INF,ELMT_TITLE_CSS_INF,ELMT_RO_REG_DT_CSS_INF,ELMT_RO_REG_DT_TYP_CD,ELMT_SLNM_CSS_INF,ELMT_RO_URL_CSS_INF,ELMT_RO_TITLE_CSS_INF,ELMT_RO_BDTXT_CSS_INF,ELMT_RO_START_DT_CSS_INF,ELMT_RO_END_DT_CSS_INF,ELMT_RO_START_END_DT_TYP_CD,ELMT_RO_FILE_NM_CSS_INF,ELMT_RO_FILE_URL_CSS_INF,
20001,과학기술정보통신부,과학기술정보통신부,공지사항,http://www.msip.go.kr/web/msipContents/contents.do?mId=MTE3,Y,Ajax,ModifyDate,#result tbody > tr,td.title a,td:nth-of-type(3),DD/nYY.MM,,http://www.msip.go.kr,#page div.heading h2 span,div.content > div.inner,,,,div.file > ul > li > div.icons > a:nth-of-type(1),http://www.msip.go.kr,
20002,과학기술정보통신부,과학기술정보통신부,사업공고,http://www.msip.go.kr/web/msipContents/contents.do?mId=MTE5,Y,Ajax,ModifyDate,#result tbody > tr,td.title a,td:nth-of-type(3),DD/nYY.MM,,http://www.msip.go.kr,#page div.heading h2 span,div.content > div.inner,,,,div.file > ul > li > div.icons > a:nth-of-type(1),http://www.msip.go.kr,
20003,과학기술정보통신부,한국생산기술연구원,사업공고,https://www.kitech.re.kr/research/page1-1.php,Y,euc-kr,verify=False,div#contents table > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY-MM-DD,,https://www.kitech.re.kr/research/,#contents > div.content_body_02 thead > tr > th.left,#contents > div.content_body_02 > div.bbs_content,,,,#contents > div.content_body_02 tbody > tr:nth-of-type(3) > td:nth-of-type(2) > div > a,https://www.kitech.re.kr,
20004,과학기술정보통신부,정보통신산업진흥원,사업공고,http://www.nipa.kr/biz/bizNotice.it?menuNo=18&page=1,Y,,수정,table.boardList > tbody > tr,td.title a,td.date,YYYY-MM-DD,,onclick,#q_content div.boardReadHeader > h3,#q_content div.boardReadBody,,,,#q_content div.boardReadHeader > div > ul > li > a,http://www.nipa.kr,
20005,과학기술정보통신부,정보통신산업진흥원,공지사항,http://www.nipa.kr/board/boardList.it?boardNo=102&menuNo=31&page=1,Y,Ajax,추가 / Ajax,#q_content table > tbody > tr,td.title a,td.date,YYYY-MM-DD,#container > div.leftWrap > div.snb > ul > li:nth-of-type(2) > a,onclick,,,,,,,,
20006,과학기술정보통신부,정보통신산업진흥원,입찰공고,http://www.nipa.kr/board/boardList.it?boardNo=102&menuNo=31&page=1,Y,Ajax,추가 / Ajax,#q_content table > tbody > tr,td.title a,td.date,YYYY-MM-DD,#container > div.leftWrap > div.snb > ul > li:nth-of-type(4) > a,onclick,,,,,,,,
20007,과학기술정보통신부,한국연구재단,사업공지,https://www.nrf.re.kr/biz/notice/list?search_type=ALL&page=1,Y,,page=1,div.board_list tbody > tr,td a.ntsviewBtn,td:nth-of-type(4),YYYY-MM-DD,,,data-nts_no 속성에 id있음,,,,,,,
20008,과학기술정보통신부,한국연구재단,사업공지,https://www.nrf.re.kr/biz/notice/list?search_type=ALL&page=2,Y,,page=2,div.board_list tbody > tr,td a.ntsviewBtn,td:nth-of-type(4),YYYY-MM-DD,,,data-nts_no 속성에 id있음,,,,,,,
20009,과학기술정보통신부,한국연구재단,공지사항,https://www.nrf.re.kr/cms/board/general/list?menu_no=53,Y,,추가,div.board_list tbody > tr,td a.ntsviewBtn,td:nth-of-type(3),YYYY-MM-DD,,,data-nts_no 속성에 id있음,,,,,,,
20010,과학기술정보통신부,한국과학창의재단,공지사항,https://www.kofac.re.kr/?page_id=1672,Y,,,div.kboard-list table.list > tbody > tr,td.kboard-list-title a,td.kboard-list-date,YYYY.MM.DD,,https://www.kofac.re.kr,#kboard-default-document div.kboard-title > p,#kboard-default-document div.kboard-content > div,,,,div.attach-list > ul > li > a:nth-of-type(1),https://www.kofac.re.kr,파일오픈
20011,과학기술정보통신부,한국과학창의재단,사업공고,https://www.kofac.re.kr/?page_id=1673,X,,웹크롤링 적용중,div.kboard-list table.list > tbody > tr,td.kboard-list-title a,td.kboard-list-date,YYYY.MM.DD,,https://www.kofac.re.kr,#kboard-default-document div.kboard-title > p,#kboard-default-document div.kboard-content > div,div.content-view > table:nth-of-type(1) tr:nth-of-type(2) > td:nth-of-type(2),div.content-view > table:nth-of-type(1) tr:nth-of-type(2) > td:nth-of-type(3),,#kboard-default-document div.content-view table:nth-of-type(2) tr a,,파일명 수정필요
20012,과학기술정보통신부,국가과학기술연구회,사업공고,http://www.nst.re.kr/nst/notice/01_03.jsp,Y,,,div.jwxe_board ul.boardList > li,a dl dt,a p.date span,YYYY.MM.DD,,,,,,,,,,
20013,과학기술정보통신부,연구성과실용화진흥원,공지사항,https://www.compa.re.kr/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_AAAAAAAAAAAA,Y,,,#boardDiv > table tr > td[align=left] table,span.link > a,td > p,YYYY-MM-DD,,onclick,,,,,,,,파일명 수정필요
20014,과학기술정보통신부,한국표준과학연구원,안내사항,http://www.kriss.re.kr/information/inform_notice_list.do,Y,,,div.board_list table > tbody > tr,td.left a,td:nth-of-type(3),YYYY-MM-DD,,href=javascript,,,,,,,,
