부처,SEED_ID,기관,게시판명,URL,수집결과,etc_2,etc_1,Crawler,TR,Title,Date,DateFormat,ClickCSS,날짜수정,a_href,click,content_Title,content_WriteDate,content_StartDate,content_EndDate,content_Body,content_Files,content_File_url,
과학기술정보통신부,383,과학기술정보통신부,공지사항,http://www.msip.go.kr/web/msipContents/contents.do?mId=MTE3,X,ModifyDate,Ajax,,#result tbody > tr,td.title a,td:nth-of-type(3),DD/nYY.MM,,,http://www.msip.go.kr,,#page div.heading h2 span,,,,div.content > div.inner,div.file > ul > li > div.icons > a:nth-of-type(1),http://www.msip.go.kr,
과학기술정보통신부,483,과학기술정보통신부,사업공고,http://www.msip.go.kr/web/msipContents/contents.do?mId=MTE5,X,ModifyDate,Ajax,,#result tbody > tr,td.title a,td:nth-of-type(3),DD/nYY.MM,,,http://www.msip.go.kr,,#page div.heading h2 span,,,,div.content > div.inner,div.file > ul > li > div.icons > a:nth-of-type(1),http://www.msip.go.kr,
과학기술정보통신부,351,한국생산기술연구원,사업공고,https://www.kitech.re.kr/research/page1-1.php,X,verify=False,euc-kr,,div#contents table > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY-MM-DD,,,https://www.kitech.re.kr/research/,,#contents > div.content_body_02 thead > tr > th.left,,,,#contents > div.content_body_02 > div.bbs_content,#contents > div.content_body_02 tbody > tr:nth-of-type(3) > td:nth-of-type(2) > div > a,https://www.kitech.re.kr,
과학기술정보통신부,352,정보통신산업진흥원,사업공고,http://www.nipa.kr/biz/bizNotice.it?menuNo=18&page=1,X,수정,,,table.boardList > tbody > tr,td.title a,td.date,YYYY-MM-DD,,,"onclick=""post_to_url('noticeView.it?bizId=00594&boardId=noti&boardNo=22&menuNo=18&page=1','')""",,,,,,,,,
과학기술정보통신부,,정보통신산업진흥원,공지사항,http://www.nipa.kr/board/boardList.it?boardNo=102&menuNo=31&page=1,X,추가 / Ajax,Ajax,,#q_content table > tbody > tr,td.title a,td.date,YYYY-MM-DD,#container > div.leftWrap > div.snb > ul > li:nth-of-type(2) > a,,"onclick=""post_to_url('/board/boardView.it?boardNo=105&contentNo=3661&menuNo=35&gubn=&page=1&registDate=','')""",,,,,,,,,
과학기술정보통신부,,정보통신산업진흥원,입찰공고,http://www.nipa.kr/board/boardList.it?boardNo=102&menuNo=31&page=1,X,추가 / Ajax,Ajax,,#q_content table > tbody > tr,td.title a,td.date,YYYY-MM-DD,#container > div.leftWrap > div.snb > ul > li:nth-of-type(4) > a,,"onclick=""post_to_url('/board/boardView.it?boardNo=105&contentNo=3661&menuNo=35&gubn=&page=1&registDate=','')""",,,,,,,,,
과학기술정보통신부,353,한국연구재단,사업공지,https://www.nrf.re.kr/biz/notice/list?search_type=ALL&page=1,X,page=1,,O,div.board_list tbody > tr,td a.ntsviewBtn,td:nth-of-type(4),YYYY-MM-DD,,,https://www.nrf.re.kr/biz/notice/view?nts_no=,data-nts_no 속성에 id있음,,,,,,,,
과학기술정보통신부,353,한국연구재단,사업공지,https://www.nrf.re.kr/biz/notice/list?search_type=ALL&page=2,X,page=2,,O,div.board_list tbody > tr,td a.ntsviewBtn,td:nth-of-type(4),YYYY-MM-DD,,,https://www.nrf.re.kr/biz/notice/view?nts_no=,data-nts_no 속성에 id있음,,,,,,,,
과학기술정보통신부,,한국연구재단,입찰공고,https://www.nrf.re.kr/tender/list?menu_no=57,X,추가,,O,div.board_list tbody > tr,td a.ntsviewBtn,td:nth-of-type(5),YYYY-MM-DD,,,https://www.nrf.re.kr/biz/notice/view?nts_no=,data-nts_no 속성에 id있음,,,,,,,,
과학기술정보통신부,,한국연구재단,공지사항,https://www.nrf.re.kr/cms/board/general/list?menu_no=53,X,추가,,O,div.board_list tbody > tr,td a.ntsviewBtn,td:nth-of-type(3),YYYY-MM-DD,,,https://www.nrf.re.kr/biz/notice/view?nts_no=,data-nts_no 속성에 id있음,,,,,,,,
